Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
grm-global,error/default-foreground,VariableID:417:1110,#ea6e5c,error/default-foreground → GRM Global/status/error/500,--error-default-foreground,#ea6e5c,equal,#ea6e5c,equal
grm-global,error/20%,VariableID:424:1864,#ea6e5c / 20%,error/20% → GRM Global/status/error/500-20%,--error-20,,missing,oklch(0.6828 0.1573 30.09 / 20%),equal
grm-global,ring/50%,VariableID:424:1865,#ff9248 / 50%,ring/50% → GRM Global/ring/500-50%,--ring-50,,missing,oklch(0.7638 0.1576 52.1 / 50%),equal
grm-global,primary/5%,VariableID:452:1261,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:185'}, 'opacity': 5}",primary/5%,--primary-5,,missing,oklch(0.5649 0.1019 180.8 / 5%),different
grm-global,input/50%,VariableID:479:83,#bbb3b7 / 50%,input/50% → GRM Global/neutral/400-50%,--input-50,,missing,oklch(0.7745 0.0106 345.5 / 50%),equal
grm-global,accent/50%,VariableID:629:40610,#e7e2ed / 50%,accent/50% → GRM Global/accent/200-50%,--accent-50,,missing,oklch(0.8894 0.0158 306.39 / 50%),different
grm-global,ring/15%,VariableID:902:6506,#ff9248 / 15%,ring/15% → GRM Global/ring/500-15%,--ring-15,,missing,oklch(0.7638 0.1576 52.1 / 15%),equal
grm-global,muted/50%,VariableID:1194:649,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 50}",muted/50%,--muted-50,,missing,oklch(0.9347 0.0051 345.29 / 50%),different
grm-global,destructive/10%,VariableID:1361:2019,#e31646 / 10%,destructive/10% → GRM Global/status/destructive/500-10%,--destructive-10,,missing,oklch(0.6566 0.2317 17.86 / 10%),different
grm-global,destructive/default-foreground,VariableID:1365:2020,#e31646,destructive/default-foreground → GRM Global/status/destructive/500,--destructive-default-foreground,#ff3759,different,#ff3759,different
grm-global,table/row-alternate,VariableID:1603:2,#faf9fa,table/row-alternate → GRM Global/table/row-alternate,--table-row-alternate,,missing,#fcfbfa,different
grm-global,foreground/60%,VariableID:1812:2961,#2c282a / 60%,foreground/60% → GRM Global/neutral/900-60%,--foreground-60,,missing,oklch(0.3116 0.0088 340.87 / 60%),different
grm-global,muted/40%,VariableID:2127:13111,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 40}",muted/40%,--muted-40,,missing,oklch(0.9347 0.0051 345.29 / 40%),different
